id ,title,price, unit price,Property information,floor area,House structure,Building Type,Architectural structure,Interior design,ladder ratio,heating,elevator,District,Specific area,hall,kitchen,toilet,Floor type,total floors,east,south,west,north,east-south,east-north,west-south,west-north,room,Longtitude,Latitude,PublishTime,imgUrl,collected,saled
1507,The formal two-bedroom apartment in Huize Homeland is fully furnished and convenient and the transportation is convenient,256,31281,non_co_ownership,81.84,flat_floor,Banlou,mixed_structure,rough,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,115.5539688,39.40444711,None,None,FALSE,FALSE
1508,"Courtyard No. 268, Kuangjian Street, convenient transportation, good environment, complete facilities",259,29496,non_co_ownership,87.81,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,top_floor,5,no,south,no,north,no,no,no,no,2,116.3551468,40.40493054,None,None,FALSE,FALSE
1509,"Huitong Xinyuan two-bedroom house is new in age, with transparent north-south, elevator and convenient transportation.",180,23253,non_co_ownership,77.41,flat_floor,Banlou,steel_concrete_structure,others,0.25,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,high_floor,18,no,south,no,north,no,no,no,no,2,115.1500462,40.25130371,None,None,FALSE,FALSE
1510,The formal two-bedroom apartment in Huize Homeland is transparent from north to south,245,29937,non_co_ownership,81.84,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2,115.8957586,40.39077497,None,None,FALSE,FALSE
1511,North-south permeable bathroom and kitchen with windows,178,23250,non_co_ownership,76.56,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.25,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,low_floor,18,no,south,no,north,no,no,no,no,2,115.9916496,39.60707971,None,None,FALSE,FALSE
1512,Huitong Xinyuan Community is open to the north and south with good ventilation.,182,22960,non_co_ownership,79.27,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.25,self_heating,no_data_yet,Mentougou,Mentougou_others,1,1,1,middle_floor,14,no,south,no,north,no,no,no,no,2,115.7928557,39.83621488,None,None,FALSE,FALSE
1513,"This room is a formal two-bedroom, with transparent north-south and square-shaped units.",223,31422,non_co_ownership,70.97,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,central_heating,no,Mentougou,Mentougou_others,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,116.2910262,39.1378955,None,None,FALSE,FALSE
1514,The north-south courtyard of No. 67 Zhongmensi Street is well ventilated and lighted.,255,29631,non_co_ownership,86.06,flat_floor,Banlou,mixed_structure,others,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,115.7625474,40.77792838,None,None,FALSE,FALSE
1515,Huize Homeland has transparent buildings in the north and south with one staircase and two public stalls in a new slab building,184,20745,co_ownership,88.7,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,basement,6,no,south,no,north,no,no,no,no,2,116.6572706,39.55939678,None,None,FALSE,FALSE
1516,Greentown Jingxi Project is finely decorated with a transparent north-south layout and can be directly moved in,690,61685,non_co_ownership,111.86,flat_floor,Banlou,steel_concrete_structure,hardcover,0.666666667,central_heating,elevator,Mentougou,Mentougou_others,2,1,2,low_floor,25,east,south,no,north,no,no,no,no,3,116.6791418,40.40064273,None,None,FALSE,FALSE
1517,Huitong Xinyuan Building Age New Elevator Room Pure South-facing Daylighting,175,22793,co_ownership,76.78,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.25,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,low_floor,18,no,south,no,north,no,no,no,no,2,116.96938,40.50843895,None,None,FALSE,FALSE
1518,Emerald Chang'an Homestead Finely Decorated Four-Bedroom House,1250,60943,co_ownership,205.11,flat_floor,Banlou,steel_concrete_structure,hardcover,0.166666667,central_heating,elevator,Mentougou,Mentougou_others,2,1,2,middle_floor,23,no,south,no,north,no,no,no,no,4,116.1537469,39.69672764,None,None,FALSE,FALSE
1519,China Railway Construction Vanke Jade Chang'an has convenient transportation and good vision,880,63015,non_co_ownership,139.65,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,central_heating,no_data_yet,Mentougou,Mentougou_others,2,1,2,middle_floor,25,no,south,no,north,no,no,no,no,4,116.1707592,40.51840471,None,None,FALSE,FALSE
1520,"Four bedrooms in the north and south, double facing south bedroom with bathroom, wide, short and deep",1195,66876,non_co_ownership,178.69,flat_floor,Banlou,steel_concrete_structure,rough,1,central_heating,elevator,Mentougou,Mentougou_others,2,1,3,middle_floor,26,no,south,no,north,no,no,no,no,4,115.9666632,40.20818358,None,None,FALSE,FALSE
1521,"The north-south is transparent, mid-to-high floors, finely decorated, and the owner sells it in good faith.",815,61640,non_co_ownership,132.22,flat_floor,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Mentougou,Mentougou_others,1,1,2,middle_floor,17,no,south,no,north,no,no,no,no,4,116.0709309,39.7093136,None,None,FALSE,FALSE
1522,The community environment is good. The apartment type is good. Transparent from north to south. Large green area,865,63139,non_co_ownership,137,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,central_heating,no_data_yet,Mentougou,Mentougou_others,2,1,2,middle_floor,17,no,south,no,north,no,no,no,no,3,116.5220157,40.88381877,None,None,FALSE,FALSE
1523,Takiyue Chang'an Oxford Park has convenient transportation from north to south,715,51079,non_co_ownership,139.98,flat_floor,Banlou,steel_concrete_structure,simple_decoration,1,central_heating,elevator,Mentougou,Mentougou_others,1,1,1,low_floor,27,no,south,no,north,no,no,no,no,3,115.5245807,40.04070124,None,None,FALSE,FALSE
1524,"Large four-bedroom in the north and south, the layout is transparent, and the owner sells it in good faith.",989,58160,non_co_ownership,170.05,flat_floor,Banlou,steel_concrete_structure,hardcover,0.047619048,central_heating,no_data_yet,Mentougou,Mentougou_others,2,1,3,high_floor,20,no,south,no,north,no,no,no,no,4,116.3009138,40.54797271,None,None,FALSE,FALSE
1525,"Greentown Xishan Yanlu has a wide view of daylighting on three sides, so you can move in directly",698,62378,non_co_ownership,111.9,flat_floor,Banlou,steel_concrete_structure,hardcover,0.666666667,central_heating,elevator,Mentougou,Mentougou_others,2,0,2,middle_floor,25,no,no,no,north,southeast,no,no,no,3,115.3886769,39.49289678,None,None,FALSE,FALSE
1526,The north-south transparent green city developer fine decoration is 200 meters away from the landing station,760,55125,non_co_ownership,137.87,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,central_heating,elevator,Mentougou,Mentougou_others,2,1,2,low_floor,24,no,south,no,north,no,no,no,no,4,116.9635533,39.23227391,None,None,FALSE,FALSE
1527,"The only one in five years, commercial housing, two bedrooms with transparent north-south",259,30360,non_co_ownership,85.31,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,2,116.2592863,40.86255765,None,None,FALSE,FALSE
1528,"Dayu Zhongmen Temple has two bedrooms in the north and south, the only one in the family for five years",214,31123,non_co_ownership,68.76,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,bottom_floor,4,no,south,no,north,no,no,no,no,2,115.00401,40.78994917,None,None,FALSE,FALSE
1529,"Yongding Wutongyuan Qinglu Garden, two-bedroom well-decorated, south-facing, high-rise lighting",380,44445,non_co_ownership,85.5,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,central_heating,elevator,Mentougou,Mentougou_others,1,1,1,low_floor,28,no,south,no,no,no,no,no,no,2,116.2950731,40.86493133,None,None,FALSE,FALSE
1530,Junzhuang Yangtuo Community 2 Room 1 Hall South,143.9,39785,non_co_ownership,36.17,flat_floor,Banlou,mixed_structure,others,0.333333333,central_heating,no,Mentougou,Mentougou_others,1,1,1,bottom_floor,6,no,south,no,no,no,no,no,no,2,116.1108272,39.03312648,None,None,FALSE,FALSE
1531,Vanke Emerald Changan has a four-bedroom house with a beautiful environment from north to south,910,52408,non_co_ownership,173.64,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,central_heating,no_data_yet,Mentougou,Mentougou_others,2,1,3,middle_floor,22,no,south,no,north,no,no,no,no,3,115.0145971,40.06685045,None,None,FALSE,FALSE
1532,"Greentown Xishan Yanlu has a good lighting pattern, Founder Owner Owner Owner and Sincerely Sell",860,61827,non_co_ownership,139.1,flat_floor,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Mentougou,Mentougou_others,2,1,2,low_floor,15,no,south,no,north,no,no,no,no,3,116.2498116,39.76659708,None,None,FALSE,FALSE
1533,"Zhongmen Temple No. 67 courtyard has good ventilation, low density and low-rise slab building with sufficient parking spaces",239,31444,co_ownership,76.01,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,2,115.0553505,39.24900748,None,None,FALSE,FALSE
1534,"Huihe Xinyuan has a new age, with elevator, regular two-bedroom rooms, and can be viewed at any time",105,13405,non_co_ownership,78.33,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,low_floor,15,no,south,no,north,no,no,no,no,2,115.9121251,39.46483638,None,None,FALSE,FALSE
1535,"The property rights are clear and unsecured, finely decorated, and the southward lighting is good",171,22415,non_co_ownership,76.29,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.25,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,low_floor,18,no,south,no,no,no,no,no,no,2,116.0997496,40.75910147,None,None,FALSE,FALSE
1536,"Courtyard 67 Zhongmensi Street, two bedrooms, two bedrooms facing south",205,24039,non_co_ownership,85.28,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2,115.599796,39.01096418,None,None,FALSE,FALSE
1537,Junzhuang Yangtuo Community 2 Room 1 Hall South,120,24923,non_co_ownership,48.15,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Mentougou,Mentougou_others,1,1,1,high_floor,6,no,south,no,no,no,no,no,no,2,116.4425384,39.55807358,None,None,FALSE,FALSE
1538,Two-bedroom apartment with elevator,110,14212,non_co_ownership,77.4,flat_floor,Banlou,steel_concrete_structure,others,0.5,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,high_floor,15,no,south,no,north,no,no,no,no,2,116.0377426,39.6203956,None,None,FALSE,FALSE
1539,"Longxing South 2nd Road, No. 3, North-South connection, perspective of the open front of the wild building without obstruction",1180,66037,non_co_ownership,178.69,flat_floor,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Mentougou,Mentougou_others,2,1,3,low_floor,26,no,south,no,north,no,no,no,no,4,115.6314409,39.77926891,None,None,FALSE,FALSE
1540,Takiyue Chang'an overlooks Jingpingshu with transparent north and south three bedrooms with plenty of light and a wide view,669,52373,non_co_ownership,127.74,flat_floor,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Mentougou,Mentougou_others,2,1,2,middle_floor,21,no,south,no,north,no,no,no,no,3,116.8183505,40.45775954,None,None,FALSE,FALSE
1541,The hard-covered bungalows on the edge of Chang'an Street in Oxford Park can be directly checked in,750,53580,non_co_ownership,139.98,flat_floor,Banlou,steel_concrete_structure,others,1,central_heating,elevator,Mentougou,Mentougou_others,1,1,2,low_floor,27,no,south,no,north,no,no,no,no,3,116.9324806,39.19575941,None,None,FALSE,FALSE
1542,The owner of Takiyue Changan Eaton Garden is sincerely selling,1230,70463,non_co_ownership,174.56,flat_floor,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Mentougou,Mentougou_others,2,1,3,middle_floor,26,no,south,no,north,no,no,no,no,4,115.4551465,40.68192383,None,None,FALSE,FALSE
1543,"Sandalwood Mansion, high-quality houses, transparent north-south, wide view of the frontiers.",588,46365,non_co_ownership,126.82,flat_floor,banta_combination,steel_concrete_structure,rough,0.5,central_heating,elevator,Mentougou,Mentougou_others,2,1,2,top_floor,6,no,south,west,north,no,no,no,no,3,116.6443261,39.78153485,None,None,FALSE,FALSE
1544,China Railway Construction Vanke Emerald Chang'an hardcover handover is convenient for north-south traffic,788,59906,non_co_ownership,131.54,flat_floor,Banlou,steel_concrete_structure,hardcover,0.166666667,central_heating,no_data_yet,Mentougou,Mentougou_others,2,1,2,low_floor,23,no,south,no,north,no,no,no,no,4,116.2219943,39.5323732,None,None,FALSE,FALSE
1545,"The house is full of five and unique, with good lighting, low floors and convenient transportation",125,35381,non_co_ownership,35.33,flat_floor,Banlou,mixed_structure,simple_decoration,0.333333333,central_heating,no,Mentougou,Mentougou_others,1,1,1,low_floor,6,no,south,no,no,no,no,no,no,1,116.2453467,40.47696519,None,None,FALSE,FALSE
1546,The middle floors of Xichang'an No. 1 are finely decorated without obstructions at the front and back,110,28661,non_co_ownership,38.38,no_data_yet,banta_combination,steel_concrete_structure,others,0.285714286,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,high_floor,12,no,no,west,no,no,no,no,no,2,115.4886355,40.54680015,None,None,FALSE,FALSE
1547,"China Railway Construction Wutonghui hardcover homeowner sincerely sells it, suitable for office",102,20544,non_co_ownership,49.65,flat_floor,banta_combination,steel_concrete_structure,others,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,25,no,no,no,north,no,no,no,no,1,116.1605499,40.56995778,None,None,FALSE,FALSE
1548,Huitong Xinyuan's north-south transparent elevator room has convenient transportation,191,24434,non_co_ownership,78.17,flat_floor,Banlou,steel_concrete_structure,hardcover,0.25,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,high_floor,18,no,south,no,north,no,no,no,no,2,115.7286636,40.75543503,None,None,FALSE,FALSE
1549,"Vanke Emerald Changan developer uniformly renovates people and vehicles, and has a beautiful environment",870,62299,non_co_ownership,139.65,no_data_yet,Banlou,steel_concrete_structure,hardcover,0.5,central_heating,no_data_yet,Mentougou,Mentougou_others,2,1,2,high_floor,25,no,south,no,north,no,no,no,no,4,115.4297107,39.54627135,None,None,FALSE,FALSE
1550,"Longxing South Second Road No. 8, three-bedroom bathroom with window",545,45977,non_co_ownership,118.54,no_data_yet,Banlou,steel_concrete_structure,simple_decoration,0.666666667,central_heating,elevator,Mentougou,Mentougou_others,1,1,2,low_floor,28,no,south,no,north,no,no,no,no,3,115.8347447,39.39811659,None,None,FALSE,FALSE
1551,"The landlord sells the house sincerely, and it is convenient to see the house in the middle of the community.",340,26995,non_co_ownership,125.95,no_data_yet,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Mentougou,Mentougou_others,1,1,1,middle_floor,4,no,south,no,north,no,no,no,no,2,115.8257952,40.72329646,None,None,FALSE,FALSE
1552,West Chang'an No. 32 Courtyard Southeast faces the sub-top floor,180,29122,non_co_ownership,61.81,no_data_yet,tower,steel_concrete_structure,others,0.142857143,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,high_floor,12,east,south,no,no,no,no,no,no,3,116.256335,40.32720029,None,None,FALSE,FALSE
1553,The owner of Takiyue Chang'an Kanjing Pingshu Townhouse sincerely sells refined decoration,1850,75758,non_co_ownership,244.2,no_data_yet,Banlou,steel_concrete_structure,hardcover,0.2,central_heating,no_data_yet,Mentougou,Mentougou_others,2,1,4,top_floor,3,no,south,no,north,no,no,no,no,5,115.9822556,40.08838653,None,None,FALSE,FALSE
1554,Tanshuyuan 3 room 2 hall north and south,428,25433,non_co_ownership,168.29,no_data_yet,No_data_yet,mixed_structure,hardcover,0.5,self_heating,no,Mentougou,Mentougou_others,2,1,2,top_floor,4,no,south,no,north,no,no,no,no,3,116.568761,39.38059162,None,None,FALSE,FALSE
1555,"West Chang'an No. 1 has a good view, newly renovated and convenient for viewing",130,29109,non_co_ownership,44.66,no_data_yet,No_data_yet,steel_concrete_structure,hardcover,0.285714286,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,13,east,no,no,no,no,no,no,no,2,115.0769219,39.99652718,None,None,FALSE,FALSE
1556,Wutongyuan Qingluyuan is close to the south facing Sanju for sale,409,45837,non_co_ownership,89.23,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.5,central_heating,elevator,Mentougou,Mentougou_others,1,1,1,high_floor,26,no,south,no,no,no,no,no,no,3,115.8742069,39.45455641,None,None,FALSE,FALSE
1557,Homeowners of China Railway Construction Wutonghui can sign at any time for sale,170,21320,non_co_ownership,79.74,no_data_yet,tower,steel_concrete_structure,hardcover,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,high_floor,25,no,no,no,no,no,no,no,northwest,3,116.0084699,39.20602586,None,None,FALSE,FALSE
1558,Sincerely sell commercial office owners to exchange houses,170,27420,co_ownership,62,no_data_yet,tower,steel_concrete_structure,hardcover,0.058823529,central_heating,no_data_yet,Mentougou,Mentougou_others,0,0,0,low_floor,23,east,no,no,no,no,no,no,no,3,116.269628,39.61265453,None,None,FALSE,FALSE
1559,West Chang'an No. 1 fine decoration interior ceiling height of 5.5 meters for sale sincerely,160,37915,non_co_ownership,42.2,no_data_yet,banta_combination,steel_concrete_structure,others,0.19047619,central_heating,elevator,Mentougou,Mentougou_others,1,1,1,bottom_floor,17,east,no,no,no,no,no,no,no,1,115.1384232,39.31727248,None,None,FALSE,FALSE
1560,"The new location of the building age is good, the layout is reasonable, no waste, the owner is sincerely selling",198,23010,non_co_ownership,86.05,flat_floor,tower,steel_concrete_structure,simple_decoration,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,25,no,no,no,no,no,no,southwest,no,3,116.0652332,40.57614177,None,None,FALSE,FALSE
1561,"West Chang'an No. 1 350,000 decoration property right parking space facing southwest",239,33250,non_co_ownership,71.88,no_data_yet,No_data_yet,steel_concrete_structure,hardcover,0.285714286,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,13,no,no,no,no,no,no,southwest,no,3,116.4276196,40.77515555,None,None,FALSE,FALSE
1562,The high floors of China Railway Construction Wutonghui can only be purchased in full,225,26024,co_ownership,86.46,no_data_yet,banta_combination,steel_concrete_structure,others,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,high_floor,25,no,no,no,no,no,no,southwest,no,3,116.2241528,39.87488513,None,None,FALSE,FALSE
1563,Reasonable use of upper and lower floors for sale sincerely,109,34234,non_co_ownership,31.84,no_data_yet,tower,steel_concrete_structure,hardcover,0.214285714,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,20,no,no,no,north,no,no,no,no,2,115.4303485,39.74711904,None,None,FALSE,FALSE
1564,The homeowner of Wutongyuan Qinglu Garden is open for sale from north to south,405,45573,non_co_ownership,88.87,flat_floor,Banlou,steel_concrete_structure,hardcover,0.5,central_heating,elevator,Mentougou,Mentougou_others,1,1,1,bottom_floor,26,no,south,no,north,no,no,no,no,3,115.9579066,40.53142826,None,None,FALSE,FALSE
1565,Takiyue Chang'an Oxford Park high-rise decoration has a good view,726,51865,non_co_ownership,139.98,no_data_yet,Banlou,steel_concrete_structure,hardcover,1,central_heating,elevator,Mentougou,Mentougou_others,2,1,2,high_floor,27,no,south,no,north,no,no,no,no,3,116.2998519,39.29714204,None,None,FALSE,FALSE
1566,Xichang'an No. 1 personal name (with five consecutive years of social security),280,32661,non_co_ownership,85.73,no_data_yet,No_data_yet,steel_concrete_structure,others,0.266666667,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,10,no,no,no,no,no,no,no,northwest,4,115.3561752,40.30965497,None,None,FALSE,FALSE
1567,"Sino-Ocean Xintiandi hard-covered room, convenient for inspection, sincerely sold",160,27938,non_co_ownership,57.27,no_data_yet,tower,steel_concrete_structure,others,0.045454545,central_heating,no_data_yet,Mentougou,Mentougou_others,0,0,0,high_floor,18,no,south,no,no,no,no,no,no,4,116.7838875,39.4178102,None,None,FALSE,FALSE
1568,"This house is sold sincerely to the north facing the owner of the good view, and appointment is required to see the house.",120,27046,non_co_ownership,44.37,flat_floor,tower,steel_concrete_structure,simple_decoration,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,26,no,no,no,north,no,no,no,no,2,116.6722922,40.38720219,None,None,FALSE,FALSE
1569,"Adequate lighting, complete supporting facilities and convenient transportation",156,29198,non_co_ownership,53.43,no_data_yet,tower,steel_concrete_structure,others,0.214285714,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,20,no,no,no,no,no,no,no,northwest,5,115.9300922,40.4738968,None,None,FALSE,FALSE
1570,The layout of the upper and lower floors of West Chang'an No. 1 is reasonable,159,25247,non_co_ownership,62.98,no_data_yet,No_data_yet,steel_concrete_structure,others,0.285714286,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,13,no,no,west,north,no,no,no,no,3,115.0396525,39.58883668,None,None,FALSE,FALSE
1571,West Chang'an No. 1 is the only southern district Xiaoping refined decoration,133,31017,non_co_ownership,42.88,no_data_yet,No_data_yet,steel_concrete_structure,others,0.266666667,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,10,no,south,no,no,no,no,no,no,3,115.796268,40.10002475,None,None,FALSE,FALSE
1572,"5.5 meters high floor, excellent location, vacant rooms, fine decoration",440,55781,co_ownership,78.88,no_data_yet,banta_combination,steel_concrete_structure,others,0.315789474,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,bottom_floor,17,east,no,no,no,southeast,no,no,no,6,115.2351452,39.89131138,None,None,FALSE,FALSE
1573,West Chang'an No. 1 elevator room is easy to enter and exit without decoration,232,25977,non_co_ownership,89.31,no_data_yet,No_data_yet,steel_concrete_structure,others,0.285714286,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,high_floor,13,east,no,no,no,no,no,no,no,3,115.2907968,39.6760958,None,None,FALSE,FALSE
1574,Sino-Ocean Xintiandi is sold in good faith,170,31360,non_co_ownership,54.21,no_data_yet,tower,steel_concrete_structure,hardcover,0.045454545,central_heating,no_data_yet,Mentougou,Mentougou_others,0,0,0,middle_floor,18,no,no,no,no,no,no,no,northwest,3,115.8448705,39.20379754,None,None,FALSE,FALSE
1575,Homeowners of China Railway Construction Wutonghui Commercial Office Building,102,20894,non_co_ownership,48.82,no_data_yet,tower,steel_concrete_structure,rough,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,25,no,no,no,north,no,no,no,no,1,116.9388146,39.3318324,None,None,FALSE,FALSE
1576,China Railway Construction Wutonghui has convenient transportation,175,23060,co_ownership,75.89,flat_floor,tower,steel_concrete_structure,hardcover,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,26,no,no,no,no,no,no,no,northwest,3,116.2400406,40.33118999,None,None,FALSE,FALSE
1577,The homeowners of China Railway Construction Wutonghui Commercial and Office Homes Sell and Sign Up for Convenience,106,24031,non_co_ownership,44.11,no_data_yet,tower,steel_concrete_structure,hardcover,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,26,no,no,no,north,no,no,no,no,1,116.3273808,39.50711485,None,None,FALSE,FALSE
1578,Sino-Ocean Xintiandi has convenient transportation and fine decoration can only be purchased in full,145,23543,co_ownership,61.59,no_data_yet,tower,steel_concrete_structure,hardcover,0.058823529,central_heating,no_data_yet,Mentougou,Mentougou_others,0,0,0,middle_floor,23,no,no,west,no,no,no,no,no,3,116.8504139,40.48884747,None,None,FALSE,FALSE
1579,Sino-Ocean Xintiandijing is decorated with good lighting and ventilation,195,26488,non_co_ownership,73.62,no_data_yet,tower,steel_concrete_structure,hardcover,0.058823529,central_heating,no_data_yet,Mentougou,Mentougou_others,0,0,0,high_floor,18,east,south,no,no,no,no,no,no,4,115.8750527,39.53688606,None,None,FALSE,FALSE
1580,"Two-bedroom south facing courtyard at No.17 Wangping Street East Road, elevator room, good lighting",102,13633,non_co_ownership,74.82,no_data_yet,Banlou,steel_concrete_structure,simple_decoration,0.5,self_heating,elevator,Mentougou,Mentougou_others,1,1,1,high_floor,15,no,south,no,no,no,no,no,no,2,116.8712321,40.2511349,None,None,FALSE,FALSE
1581,West Chang'an No. 1 Fine Decoration sincerely sells for easy viewing,219,31744,non_co_ownership,68.99,no_data_yet,tower,steel_concrete_structure,others,0.25,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,17,east,no,no,north,no,no,no,no,3,115.1680883,39.27566362,None,None,FALSE,FALSE
1582,"Divided traffic between people and vehicles, beautiful environment, sincerely selling and viewing houses",193,26802,non_co_ownership,72.01,no_data_yet,No_data_yet,steel_concrete_structure,rough,0.285714286,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,13,east,south,no,no,no,no,no,no,3,115.88971,40.56124133,None,None,FALSE,FALSE
1583,The well-decorated community has a good environment and convenient transportation. Mature community,155,28715,non_co_ownership,53.98,no_data_yet,tower,steel_concrete_structure,hardcover,0.214285714,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,20,no,no,west,no,no,no,no,no,3,115.710359,39.62012966,None,None,FALSE,FALSE
1584,Chang'an Street West Extension Line has mature small apartment supporting facilities,108,34091,non_co_ownership,31.68,no_data_yet,tower,steel_concrete_structure,rough,0.214285714,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,20,no,no,no,north,no,no,no,no,2,115.0477781,40.03050142,None,None,FALSE,FALSE
1585,The middle floor of the square apartment of the north-south transparent apartment of No. 39 Zhongmen Temple,270,29221,non_co_ownership,92.4,no_data_yet,Banlou,steel_concrete_structure,simple_decoration,0.5,self_heating,no,Mentougou,Mentougou_others,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2,115.2590139,39.48197768,None,None,FALSE,FALSE
1586,Huize Homeland 2 Room 1 Hall North and South,235,35403,non_co_ownership,66.38,flat_floor,Banlou,mixed_structure,others,0.333333333,central_heating,no,Mentougou,Mentougou_others,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2,116.2066044,39.13384288,None,None,FALSE,FALSE
1587,"China Railway Construction Wutonghui, elevator room, 50-year property rights, the owner sincerely sells",169,23551,non_co_ownership,71.76,no_data_yet,tower,steel_concrete_structure,others,0.272727273,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,26,east,south,no,no,no,no,no,no,3,116.879153,39.11358843,None,None,FALSE,FALSE
1588,"Downstairs city rail, Tianjie, South District has good environment and convenient transportation",168,26697,non_co_ownership,62.93,no_data_yet,No_data_yet,steel_concrete_structure,others,0.285714286,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,high_floor,13,no,no,no,no,no,northeast,no,no,3,115.7409094,40.10209553,None,None,FALSE,FALSE
1589,West Chang'an One Room 3 Room 1 Hall East,205,27873,non_co_ownership,73.55,no_data_yet,No_data_yet,steel_concrete_structure,others,0.285714286,no_data_yet,elevator,Mentougou,Mentougou_others,0,0,0,middle_floor,13,east,no,no,no,no,no,no,no,4,116.0911104,39.55519368,None,None,FALSE,FALSE
1590,"Commercial office housing near the subway, large three-bedroom flat floor",470,31640,non_co_ownership,148.55,no_data_yet,No_data_yet,steel_concrete_structure,rough,0.111111111,no_data_yet,no_data_yet,Mentougou,Mentougou_others,0,0,0,middle_floor,20,no,south,no,no,no,no,no,no,4,116.2403635,39.19665767,None,None,FALSE,FALSE
1591,"The house is well decorated, the environment is good, the transportation is convenient, people and vehicles are separated",105,27632,non_co_ownership,38,no_data_yet,banta_combination,steel_concrete_structure,hardcover,0.19047619,central_heating,elevator,Mentougou,Mentougou_others,0,0,0,low_floor,17,no,no,west,no,no,no,no,no,2,116.1186061,39.46433635,None,None,FALSE,FALSE
